Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,YEG,YYZ,A320,A321,31,"5,890","9,871,640",148,"28,120","47,129,120",-117,"-22,230","-37,257,480",-79.10%,-79.10%,-79.10%
AC,YYZ,MDT,Beechcraft,Beech 1900D Airliner,0,0,0,117,"2,106","593,892",-117,"-2,106","-593,892",-100.00%,-100.00%,-100.00%
WS,LAS,YWG,B737 Misc,B737-Max 8 Passenger,6,"1,044","1,368,684",0,0,0,6,"1,044","1,368,684",,,
AC,YWG,YYZ,A320,A320,90,"13,140","12,299,040",209,"30,514","28,561,104",-119,"-17,374","-16,262,064",-56.90%,-56.90%,-56.90%
AC,YYZ,YZR,Beechcraft,Beech 1900D Airliner,0,0,0,119,"2,142","306,306",-119,"-2,142","-306,306",-100.00%,-100.00%,-100.00%
AC,YZR,YYZ,Beechcraft,Beech 1900D Airliner,0,0,0,119,"2,142","306,306",-119,"-2,142","-306,306",-100.00%,-100.00%,-100.00%
AC,YTS,YYZ,DeHavilland Dash-8,DHC-8-100,0,0,0,120,"4,440","1,545,120",-120,"-4,440","-1,545,120",-100.00%,-100.00%,-100.00%
AC,YYZ,YTS,DeHavilland Dash-8,DHC-8-100,0,0,0,120,"4,440","1,545,120",-120,"-4,440","-1,545,120",-100.00%,-100.00%,-100.00%
AC,SYR,YYZ,Beechcraft,Beech 1900D Airliner,0,0,0,121,"2,178","396,396",-121,"-2,178","-396,396",-100.00%,-100.00%,-100.00%
AC,YYZ,SYR,Beechcraft,Beech 1900D Airliner,0,0,0,121,"2,178","396,396",-121,"-2,178","-396,396",-100.00%,-100.00%,-100.00%
AC,ROC,YYZ,Beechcraft,Beech 1900D Airliner,0,0,0,122,"2,196","232,776",-122,"-2,196","-232,776",-100.00%,-100.00%,-100.00%
AC,YYZ,ROC,Beechcraft,Beech 1900D Airliner,0,0,0,122,"2,196","232,776",-122,"-2,196","-232,776",-100.00%,-100.00%,-100.00%
